Grid import cost;Grid export price;Maximum grid exchange rate;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,55;0,13;100;
0,55;0,13;100;
0,55;0,13;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,55;0,13;100;
0,55;0,13;100;
0,55;0,13;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,55;0,13;100;
0,55;0,13;100;
0,55;0,13;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,55;0,13;100;
0,55;0,13;100;
0,55;0,13;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,55;0,13;100;
0,55;0,13;100;
0,55;0,13;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,55;0,13;100;
0,55;0,13;100;
0,55;0,13;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,55;0,08;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
0,15;0,13;100;
