Time Step,Load (kWh),Solar Production (kWh),Curtailment (kWh),Battery Charge (kWh),Battery Discharge (kWh),State of Charge (kWh),Generator Production (kWh),Grid Import (kWh),Grid Export (kWh),Battery Reserve (kWh),Generator Reserve (kWh),Expected Shortfall (kWh)
1,3.438671588,9.972831336870603e-9,-9.972831336870603e-9,-9.661965623252818e-9,-9.239608255734946e-9,-5.401239030735094e-9,3.5018231264270114,-9.9835051703295e-9,-9.955829393918102e-9,-9.490870097055337e-9,-9.968504437511414e-9,0.01123334924963342
2,3.723586058,9.972831336631915e-9,-9.972831336631915e-9,-9.652049719825521e-9,-9.203092272756904e-9,-5.82774860545028e-9,3.7919974676312562,-9.982403289094346e-9,-9.956881074432722e-9,-9.554578877890663e-9,-9.967072821034658e-9,0.013429437020020842
3,4.028054567,9.972831336877623e-9,-9.972831336877623e-9,-9.655365253224323e-9,-9.158957216217578e-9,-6.299336240606689e-9,4.092577920132449,-9.981143654582485e-9,-9.957883840748657e-9,-9.606376272533628e-9,-9.965504860131827e-9,0.014087775042404986
4,3.941258645,9.972831337060817e-9,-9.972831337060817e-9,-9.664535408704082e-9,-9.100265996613323e-9,-6.83539218209291e-9,3.9952846446215027,-9.979689777385628e-9,-9.958841026593985e-9,-9.646709668205765e-9,-9.963780103139065e-9,0.013240922722102444
5,4.163056974,9.972831336959927e-9,-9.972831336959927e-9,-9.675919125931721e-9,-9.017394955458459e-9,-7.460990144042509e-9,4.2214498649077,-9.979689777436297e-9,-9.95884102638589e-9,-9.63451351566712e-9,-9.96378010313886e-9,0.01431117843127513
6,4.423832493,9.97283133657778e-9,-9.97283133657778e-9,-9.684173751688726e-9,-8.858171856112585e-9,-8.245691944839842e-9,4.481758968642176,-9.979689777650696e-9,-9.958841025505398e-9,-9.675680761196715e-9,-9.96378010313888e-9,0.014196867709991762
7,4.564562333,9.972831336498486e-9,-9.972831336498486e-9,-9.69337814405874e-9,-8.505117296482087e-9,-9.374539750037664e-9,4.626818749213903,-9.979689777697227e-9,-9.958841025314313e-9,-9.705214089360008e-9,-9.963780103138702e-9,0.015258068051372165
8,6.318069491,9.972831336447605e-9,-9.972831336447605e-9,-9.710212954585858e-9,-7.040456628129282e-9,-1.1910808260171409e-8,6.373059467927051,-9.9796897777252e-9,-9.958841025199428e-9,-9.728385865261865e-9,-9.963780103139015e-9,0.013477179160800991
9,6.400433786,9.972831336759419e-9,-9.972831336759419e-9,-9.889645549311303e-9,-9.910843484238419e-9,-1.1890670221990649e-8,6.400433704160386,0.04099410366328899,-9.680412608125822e-9,1.78884777835089e-8,-9.92989697167774e-9,0.009423254183447699
10,6.015378263,7.638069005093373,-9.95083215826753e-9,-3.7586432478532e-9,-9.736993577181944e-9,-6.211237409128342e-9,-9.939296264875374e-9,-9.680412748360091e-9,1.571877150427476,-9.704211666587439e-9,-9.963780103136421e-9,0.007430505994559358
11,6.374796259,23.079399684881043,-9.950831270089111e-9,-7.952147063869803e-9,-9.728457055642714e-9,-4.523742916944078e-9,-9.939296259317748e-9,-9.680412594325553e-9,16.640326648524233,-9.653204146607294e-9,-9.963780103136338e-9,0.009399238538788532
12,6.394364502,39.81181744096067,-9.950831270089111e-9,-8.560549979138695e-9,-9.72150527795164e-9,-3.420835383071781e-9,-9.939296261456746e-9,-9.680412653612446e-9,33.359688584713766,-9.589430764506789e-9,-9.963780103136335e-9,0.008446921796181908
13,7.783431122,55.49301714316896,-9.950831270089111e-9,-8.877645778712707e-9,-9.712259185570424e-9,-2.627952646556948e-9,-9.939296261410444e-9,-9.680412652329218e-9,47.65525069022602,-9.510680027527653e-9,-9.963780103136333e-9,0.007945493214412147
14,8.28269102,67.89239455298494,-9.950824164661753e-9,-9.067585293138149e-9,-9.687127557026088e-9,-2.0393874958634083e-9,-9.93929626181539e-9,-9.68041266355323e-9,59.55121806585479,-9.492143188030443e-9,-9.963780103136332e-9,0.008552370798304187
15,7.803288819,75.2844216513871,-9.950824164661753e-9,-9.18506929145866e-9,-9.648489299000566e-9,-1.5991384886985976e-9,-9.939296262109363e-9,-9.680412671701512e-9,67.4187310312976,-9.472459046967948e-9,-9.963780103136332e-9,0.009125059364628546
16,7.248091401,76.73519960921647,-9.950824164661753e-9,-9.250064485953754e-9,-9.614885117551952e-9,-1.2525588886803097e-9,-9.939296261842695e-9,-9.680412664310049e-9,69.42959431371617,-9.451658028596371e-9,-9.963780103136332e-9,0.008410297014732183
17,6.730401633,72.08691512651478,-9.950838375516469e-9,-9.270399872114259e-9,-9.600253621922875e-9,-9.391978263621247e-10,-9.939296261840144e-9,-9.680412664239287e-9,65.29938686369606,-9.429852821888724e-9,-9.963780103136332e-9,0.00835366704515863
18,7.823450179,61.96635317036685,-9.950831270089111e-9,-9.24216271409591e-9,-9.609253668194957e-9,-5.904614199680294e-10,-9.939296261488996e-9,-9.680412654506413e-9,54.09062693645439,-9.407313966997633e-9,-9.963780103136333e-9,0.007644363867376693
19,11.72468898,47.745567657997135,-9.950831270089111e-9,-9.127414037535067e-9,-9.63984719986003e-9,-1.0364991575931404e-10,-9.939296262280305e-9,-9.984781555941667e-9,35.92541720859062,-9.39125190412344e-9,-9.963780103136333e-9,0.0063075298158422645
20,14.13993851,31.34329718047052,-9.950831270089111e-9,-8.590442496273606e-9,-9.68659558970449e-9,9.376955230000245e-10,-9.939296262796668e-9,-9.98478155597412e-9,17.104643566574513,-9.369066453497141e-9,-9.963780103136338e-9,0.006522510727173845
21,17.32856554,15.035730080021336,-9.972833225901923e-9,-9.43904774072072e-9,-9.472967159371626e-9,9.699189707183855e-10,2.3491673873014705,-9.9796897775523e-9,-9.939296261411438e-9,-9.34377988322973e-9,-9.963780103138954e-9,0.013806066413295775
22,20.02117299,1.0723035648953838,-9.987781268705476e-9,-9.944852316078333e-9,3.662232854407302e-9,-1.1956811941242968e-8,18.94886921706498,-9.9488657491454e-9,-9.981473235135751e-9,4.268516910107429e-9,-9.982544660507944e-9,0.03279001904990545
23,17.3047197,9.972831334506774e-9,-9.972831334506774e-9,-3.5005031943448166e-9,-9.736407719839889e-9,-6.03270264202265e-9,17.36864951839813,-9.979689778810135e-9,-9.958841020743867e-9,-9.28779423516239e-9,-9.963780103138557e-9,0.015668191403496675
24,10.31980314,9.972831336263623e-9,-9.972831336263623e-9,-8.761540084428866e-9,-9.848595990144166e-9,-4.9999995315931146e-9,10.384046875452698,-9.979689777825623e-9,-9.958841024787019e-9,-9.280822611905695e-9,-9.963780103138621e-9,0.01574512790223693
